,0
3575,"Э̄т пос
Пе̄с порат ла̄ве̄гыт, хуньттай хосат-хосат тамле пора о̄лыс, хунь э̄тыт акваг турма­ныг о̄л­сыт."
3576,"Ань нумын э̄тпос ты о̄лы, то̄нт тав ат постыс."
3577,"Та ма̄гыс, та накта ӣти ё̄мыг­тан хурип сяр ат о̄лыс."
3578,"Тур­манлы, я-ты, сам э̄лаль воссыг ат ка̄салы."
3579,"То̄нт тай, ла̄ве̄гыт, куль хурип матарыт о̄лнэ пора­ныл о̄лыс."
3580,"Мансо̄­мит о̄лы, пуссын, хунь э̄т ёхты, та со̄нтме̄гыт."
3581,Ӣти э̄лмхо̄ла­сыт ат ё̄мыг­тасыт.
3582,"Ань мус па̄вылт о̄лнэ ма̄ньси ма̄х­мыт ла̄ве̄гыт: «Э̄т котильт ат тайи ё̄мыгтаӈкв, ӣти – хуйнэ пора."
3583,"Ӣти мо̄т то̄рум о̄лы, турмант матыр Самсай ё̄мнэ пора."
3584,"Та порат ма̄хум хотью­таныл хот ке тыпи, тур­манлан мус юв ат ке а̄­лы­ми, тот та тэ̄ве осэва̄­та̄л тэ̄нэ-айнутытн."
3585,"Э̄лм­хо̄лас кон ке ква̄лапи,сяр кол ляпатэ̄т ос пор­слаӈкв тамле утна то̄нт ве̄р­мувес."
3586,Тэ̄лы тай сяр та̄рвитаӈ пора о̄лыс.
3587,"Хо̄талыт май сяр ва̄тит, акв ва̄тихалыл ма̄хум ёл-турманла̄лыг­лавет."
3588,Акваг ань акв ма̄т ляпат ат ве̄рмхаты во̄ра­яӈкв са̄в хо̄тпатн – во̄руй холы.
3589,Э̄рыс мось э̄лаль ялан­таӈкв.
3590,"То̄верт тур­манлы, то̄ва во̄раян хумит юв ат ёхтэ̄гыт."
3591,"Хотьют хо­сан ке мины, турманлаве ке, тай ты, тот та ёхтаве."
3592,"Воссыг хоталь сялтэ̄гыт, ня̄враманыл хотум тыт­туӈкв э̄рыс."
3593,"Та о̄лнэ порат акв лю̄ляӈ урам ва̄тат па̄выл о̄лыс, па̄вылт а̄ги ся̄­няге-а̄сяге ёт о̄лыс."
3594,"Ос та о̄лэ̄гыт, сюне̄гыт."
3595,"Хо̄тыл молях ка̄ркамлахтэ̄гыт, э̄т ёхты, а̄вияныл лап-то̄рма­тэ̄гыт, тувыл воссыг постыглан мус кон ат ква̄лэ̄гыт."
3596,Па̄влыӈ ма̄хум ос аквтасирыл о̄лсыт.
3597,То̄нт тав ул пуссын ма̄ янытыл о̄лнэ хо̄тпат тох о̄лсыт.
3598,"Та а̄ги а̄се сака ка̄ркам о̄йка о̄лыс, акваг во̄раяс, нас ат ӯнлыс."
3599,"Ма̄сьтыр о̄йка, ёмсякв се̄мьятэ о̄лыс."
3600,Пасанэ та̄тлаг ат патсы.
3601,"Нэ̄тэ ла̄панты хольт нас ялы, супанэ сома нас сурт­ге̄гыт, сака нё̄тнэ э̄ква о̄лыс."
3602,"Аквматэ̄рт, аквсёс, такем посыӈ э̄т о̄лыс, то̄нт совтыт патыгласыт, э̄т но̄х-хо̄тлама̄лас."
3603,"Кон āӈква­тэ̄гын, совтыт сома нас сульге̄гыт."
3604,"Аман урыл тамле э̄т о̄лыс, ань ат та ва̄йхаты."
3605,"Ос та а̄гирись ӣснас ва̄тат хоса ӯнлыс, ся̄няге-а̄сяге ёл ойвесы̄г, таве̄н по̄мась о̄лыс, ӣти ос посыӈ аманур."
3606,"Аквматэ̄рт номсы, кон сар ялапа̄лэ̄гум, посыӈ – ул нэ̄матыр а̄тим, ат пувавем."
3607,"Ла̄сьлакв а̄витэ пӯнсыс, тувыл та тахас."
3608,"Кон лю̄­ляхо̄лы, сома сяр посыӈ, таяныт ва̄гыл та совтыт патыглэ̄гыт, нас волята̄лэ̄гыт."
3609,"Ма̄ тӯйтэ нас суртги, тамле хорамыӈ э̄т иӈт ат ва̄син­та̄лас а̄ги."
3610,"Аквматэ̄рт а̄ги сунсы, сака посыӈ совт та постаяс."
3611,Тувыл ёлаль та а̄стапас.
3612,"Ёлаль минаме̄т сяр а̄ги о̄лнэ пӯсасн та рагатас, тувыл та харыглас."
3613,"…
Мо̄йт э̄лаль на̄н Āс-угорский институт ло̄псэ̄т ловиньтаӈкве ве̄рмилы̄н."
3614,Таве хо̄нтнэ ма̄гыс нумыннув по̄сэ хансыслӯв.
3615,Галина КОНДИНА
3616,"Сосса мирыт пе̄с йис ва̄рмаляныл, ща̄нь ла̄тӈаныл э̄лаль тотнэ ма̄хум касыл щирыл культура департамент па̄лныл ка̄сыӈ та̄л грант-олныл мивет."
3617,Ты та̄л нэ̄паканыл та̄л котиль э̄тпос 28 хо̄талныл маньпо̄ль э̄тпос 12 хо̄талэ мус ке̄туӈкве тув э̄ри.
3618,Тамле ва̄рмаль урыл культура департамент ля̄ххал ань ке̄ты.
3619,Касылн та̄нки рӯпатаныл ва̄рнэ хо̄тпат ос са̄всыр мо̄т организацият нэ̄паканыл ке̄туӈкве тув ве̄рме̄гыт.
3620,«Государственный организацияг» ла̄внэ колыт ты олныл ат мивет.
3621,Ма̄хум са̄т номинацият щирыл олныл уртавет ос но̄х-патум хо̄тпат 420 со̄тыра солко̄вил та̄ставет.
3622,Олныт «Устойчивое развитие коренных малочисленных народов Севера» са̄ккон хосыт мивет.
3623,Ты грант-олн вуянтым ма̄хум 5% са̄вит (21 со̄­тыра солко̄ви) та̄нки ол­наныл тув холтуӈкве тах э̄ри.
3624,Комиссият о̄лнэ ма̄хум ке̄тым нэ̄пакыт пуссын ёмащакв ловиньтыяныл ос но̄х-патум организа­цият тах пе̄рие̄гыт.
3625,Ос тувыл департа­мен­тыт рӯпитан хо̄тпат но̄х-патум хо̄тпат ёт согла­шение-нэ̄пак яныгпо̄ль э̄тпос 13 хо̄тал мус тах хансэ̄гыт.
3626,Культура департамент ищхӣпыӈ утыт такви ло̄пс о̄с о̄ньщи.
3627,Тот «Формы государственный под­держки» нампа ма̄т ты ва̄рмаль урыл ёмащакв хансым о̄лы.
3628,"Нэ̄пакыт пищмал ты адресн ке̄туӈкве э̄ри:  Ханты-Мансийск ӯс, Мира ӯсхулы, 14а кол, 206 колнак."
3629,Ты колт рӯпитан хо̄тпат  а̄лпыл 9 щё̄сныл ӣтипа̄лаг 17 щё̄с мус ты телефон хосыт китыглаӈкве ро̄ви: +7(3467) 360-143 (доб.
3630,2435).
3631,Культура департаментыл ке̄тым ля̄ххал ма̄ньщи ла̄тӈыл Людмила ТЕТКИНА хансыстэ.
3632,Советский районт «Ма̄нь Та̄гт» нампа заповедник о̄лы.
3633,"Тав 1976 та̄лт ва̄рвес, ань атпан нупыл ат та̄лэ то̄влыс."
3634,"Тот ма̄тэ сака нё̄тнэ, са̄всыр хорамыӈ лӯптат, йӣвыт яныгме̄гыт."
3635,"Во̄рт са̄всыр во̄руй яласы, я̄т ос тӯрыт хӯ­лыӈыг о̄лэ̄гыт."
3636,Тыима̄гыс тав государство па̄лыл ӯргалым о̄ньщаве.
3637,"Янгыщ ма̄тэ Советский район янытыл о̄лы, туп ма̄нь ло̄мтэ Ха̄льӯс райо­нын паты."
3638,«Ма̄нь Та̄гт» заповед­никыт щар о̄выл кӯщаиг Леонид Фёдорович Сташкевич о̄лыс.
3639,Ты хум Ростов-на-Дону ӯст самын патыс.
3640,Тав 1965 та̄лт Омск ӯс институт а̄стлас.
3641,Тувыл 1970 та̄лт ма̄н округувн Советский районын ёхтыс.
3642,"Тот ха­нищтапыт, кол ӯнттын ма̄т ос мо̄т са̄всыр ва̄рмаль щирыл рӯпитас."
3643,Тувыл 1976 та̄лт тав ты ма̄-вит ӯргалан кӯщаиг паттувес.
3644,"«Ма̄нь Та̄гт» заповед­никын нас яласан ма̄хум, во̄раян хо̄тпат ат та̄ртавет."
3645,"Тот пум са̄груӈкве, йив яктуӈкве, пил ва̄туӈкве, ла̄хыс атуӈкве ос тэ̄рпи ма̄гыс матыр лӯпта ма­ныгтаӈкве щар ат ро̄ви."
3646,Ма̄-во̄й ос ма̄-щунь киснэ ма̄хум тот рӯпи­таӈ­кве о̄с ат та̄ртавет.
3647,Ты ма̄н ялнэ ма̄гыс раз­ре­шение-нэ̄пак ва̄руӈкве э̄ри.
3648,Инспекция-хо̄т­пат ты ма̄ мувылтым акваг яласэ̄гыт.
3649,Тот учёный хотпат са̄всыр научный рӯпата ва̄ре̄гыт.
3650,"Та̄н та ма̄ акваг ханищтыяныл, сунсэ̄гыт - манырсыр лӯптат тот яныгме̄гыт ос мо̄т са̄всыр э̄рнэ рӯпата ва̄ре̄гыт."
3651,"Манхурип во̄руй тот о̄лы, хумус та̄н яныгме̄гыт, ак­ваг уральтым о̄ньщавет."
3652,Ты урыл са̄в научный нэ̄­па­кыт хансым о̄лэ̄гыт.
3653,Советский ӯст во̄руит ос товлыӈ ӯит сунсыглан ма̄нь музей-кол пӯсвес.
3654,Тот са̄всыр во̄руй хурит о̄лэ̄гыт.
3655,Ты во̄рӯит ос тов­лыӈӯит намыл ат алве̄сыт.
3656,"Та̄н матыр о̄выл щирыл та̄нки порсысыт манос сакватахтасыт, во̄рт хо̄нт­ве̄сыт ос хурииг ва̄рве̄сыт."
3657,"То̄ва во̄руит мори во̄раян хо̄тпатн алве̄сыт ос хультуптаве̄сыт, хоть­ютн хо̄нтве̄сыт ос музейн тотве̄сыт."
3658,Ань та музейт ва̄тихал са̄всыр суссылта­пыт щё̄пита̄лавет.
3659,Тувыл ма̄нь ня̄врамыт ма̄гыс тот са̄всыр касылыт ва̄рыглавет.
3660,Та̄н во̄руит хаснэйӣвыл по̄слыяныл.
3661,"Школат ханищтахтын а̄гит-пыгыт ты музейт са̄в­сыр товлыӈӯит, во̄руит ос са̄всыр лӯптат ханищ­ты­яныл."
3662,Ты коныпал тот ня̄вра­мыт ма̄-вит ӯргалан урыл стихыт хансэ̄гыт.
3663,Ётыл ты хансым стихыт ос потрыт пуссын нэ̄пакын хансавет.
3664,Тыщир Советский районт о̄лнэ ня̄врамыт ма̄-вит ӯргалаӈкве ханищтавет.
3665,"фото с сайта 2goroda.ru
«Ма̄нь Та̄гт» нампа запо­ведник нупыл хӯрум ӯр­галан ма̄т хансым о̄лэ̄гыт - ты «Верхне-Кондинский», «Елизаровский» ос «Васпухольский»."
3666,Тот мощщаг хультум во̄рӯит ос товлыӈӯит ёмщакв ӯргалым о̄ньщавет.
3667,Тот я̄т ӯйигтан витуй о̄лы.
3668,Та̄н мощщаг хультум ма̄гыс «Выгыр нэ̄пакн» хансым о̄лэ̄гыт.
3669,"Та ма̄тт манса̄вит са̄лы, янгуй, во̄руй, товлыӈӯй о̄лы, та̄н пуссын ловинь­тым о̄ньщавет."
3670,Тэ̄лы порат инспектор-хотпат «Бураныл» ма̄ уральтым яласэ̄гыт.
3671,"Осыӈ тӯйт паты ке, во̄руй ма̄гыс тэ̄нэ ма̄т щё̄питэ̄гыт."
3672,Туи ос везде­ходыл яласэ̄гыт манос ла̄глыл ё̄мияныл.
3673,Лё̄ӈха­ныл палыт ӯщлахтын ма̄­гыс во̄рколыт ӯнттысыт.
3674,Ты ӯргалан ма̄ хосыт Конда я̄ овты.
3675,Та я̄ патыг­лам йӣвытыл ос порсыл ка̄сыӈ порат хот-сыс­та­ты­м­таве.
3676,Заповедникт рӯпитан хо̄тпат а̄гит-пыгыт халт ма̄ хот-сыстам­тан касылыт щё̄пита̄лэ̄гыт.
3677,Тамле ты ёмас ва̄рмаль Советский районт ма̄-вит ӯргалан ма̄гыс ва̄раве.
3678,Са̄ртын ты ӯргалан ма̄т акв ма̄ньщи хум Павел Кириллович Дунаев рӯ­пи­тас.
3679,Тав ань пенсият о̄лы.
3680,Николай МЕРОВ
3681,Ре̄тыӈ ю̄свой э̄тпост наука янытлан хо̄тал о̄лы.
3682,"Ты кастыл акв венгр учёный нэ̄ урыл хансэ̄в, ты Марта Чепреги."
3683,"Тав филология наукат доктор нам о̄ньщи, Будапешт ӯст  Лоранд Этвёш нампа университетт финно-угроведение кафедрат кӯщаиг рӯпиты."
3684,Тав ма̄ньлат порат 1969 та̄лныл ос 1974 та̄л мус Сегед ӯст Аттила Ёжеф нампа универси­тетт ханищтахтас.
3685,"Ха­нищ­тахтаме̄т Хельсинки, Москван ос Ленинградын стажировкан яланта̄лыс."
3686,"Марта финно-угрове­дение, синтаксис, фольк­лор щирыл научный рӯ­пата ва̄ри, финн, ханты, ма̄ньщи, рущ ла̄тӈыт ха­нищты."
3687,"Тав наука щирыл рӯпитан ма̄хум ханищты, ма̄ньлат а̄гит-пыгыт ёт рӯпиты."
3688,"Мир ма̄гыс ва̄рнэ рӯ­пататэ ма̄гыс са̄в яныг намыл майвес, ты халт тав тамле нам о̄ньщи – член международного комитета международ­ных финно-угорских кон­г­рессов."
3689,Мо̄лты та̄л Марта ва̄т са̄грапнал э̄тпост са̄тлов та̄лэ то̄влыс.
3690,Такви ма̄тэ̄т Венгрият рӯпата ос юрт ма̄хманэ̄н сака ёмас мӯйлупсал ва̄рвес – тав уре̄тыл хан­сым нэ̄пакыл мӯйлуп­та­вес.
3691,"Тув са̄в ма̄хум Марта урыл хансум потрыт ак­ван-атве̄сыт, хурил ва̄р­вес ос та а̄стыс."
3692,"Ам ос тав Ханты-Мансийск ӯсн ёхталаме урыл потыр ма̄ньщи ла̄тӈыл хассум, та потрум нэ̄пакн ва̄рвес."
3693,"Тонт 2017 та̄лт таквсы порат Венг­рия­ныл, Эстонияныл са̄в ма̄хум «I Шесталовские чтения» конференциян ёхталасыт, ща̄нь ла̄тӈанув урыл потыртасыт."
3694,Тувыл мӯй ма̄хманув «То̄рум Маа» музей сунсуӈкве ялсыт ос Юван Шесталов ёл-щё̄питым ма̄тэ̄н тотыг­лаве̄сыт.
3695,Ань мо̄т хо̄н мāт Венгрият мāньщи лāтӈыл хансым потыр о̄с о̄нь­ще̄гыт.
3696,"Марта Чепреги ханты ма̄хманув ла̄тыӈ ханищты, ханты ла̄тыӈ урыл са̄в научный потрыт хансы."
3697,"Янгыщ тав сургутский диалект Тромъеган, Аган и Большой Юган я̄ ва̄тат о̄лнэ ма̄хум ла̄тыӈ ха­нищ­ты ос такви ты ла̄тӈыл по­тыртаӈкве ве̄рми."
3698,"Са̄в щёс, аквман ул са̄тахтем щёс та ма̄хум о̄лнэ ма̄нылн ялантас, та̄н потраныл хансыс, хӯр­мах-нилах нэ̄пак та̄ратас."
3699,Та̄н Āс-угорский инсти­тутн та̄р­туӈкве нё̄тве̄сыт.
3700,"Ам Венгриян 2019 та̄лт ялмум порат тав ётэ Зирц ӯст хо̄­нт­хатыгла­сум, аквъёт мощ потыр­тас­ме̄н, ма̄ньщи ла̄тӈыл о̄с торгамты."
3701,Тох ты венгр рӯтанув ма̄н ла̄тӈанув ханищты­яныл ос янытлым о̄ньщи­яныл.
3702,"Та̄н ла̄тӈанув ак­ван-ро̄влым са̄в научный рӯпата хансэ̄гыт, тох ща̄нь ла̄тӈув хот ат со̄йми, са̄в­сыр нэ̄пакыт са̄в та̄лытын ос са̄в нотын хультэ̄гыт."
3703,"Ма̄н, ма̄ньщи газетат рӯпитан ма̄хум, Марта Чепреги сы­мыӈыщ яныт­лылӯв, То̄румн-Ōтырн вос ӯрга­лаве, пус ка̄т, пус ла̄гыл са̄в та̄л вос рӯпиты."
3704,Галина КОНДИНА
3705,"Ты порат та̄л котиль э̄тпос о̄выл хо̄талныл рӯпатта̄л о̄лнэ яныгпа̄ла хо̄тпат пенсия-олнаныл 6,3 процентын но̄х-нё̄тве̄сыт."
3706,Ты ма̄хум пенсияныл акв со̄тыра солко̄ви са̄витын са̄внувег е̄мтыс.
3707,"Ань Россия ма̄в янытыл са̄выӈпа̄лэ пенсия винэ рӯпаттāл о̄лнэ хо̄т­пат 17,5 со̄тыра солко̄ви са̄вит выгыт."
3708,Ты урыл округувт пенсия-олн ойтнэ колт рӯпитан кӯ­щай нэ̄ Татьяна Зайцева потыртас.
3709,"Кӯщай нэ̄ ла̄вме щи­рыл, мо̄лты та̄л пенсия-олн ойтнэ кол юбилей­ный та̄лэ о̄лыс."
3710,Ос ювле хуль­тум та̄лт ма̄ янытыл хащ­та̄л а̄гм е̄мтыс.
3711,Ты мāгыс та̄н рӯпатаныл мощ мо̄т щирыл ва̄рия­ныл.
3712,То̄нт Россия Прези­ден­тув ня̄врамыӈ ще̄мьятн ол­ныл нё̄тнэ тэ̄ла щё̄пита̄лыс.
3713,Югра ма̄т пенсия-олн ойтнэ колт рӯпитан хо̄т­пат яныгпа̄ла э̄лумхо̄ла­сыт ловиньтасаныл.
3714,"м­тыс тох, округувт пуссын аквъёт 452 со̄тыра арыг­тем э̄лумхо̄лас пенсия-олн вуим о̄лэ̄гыт."
3715,Ка̄сыӈ та̄лныл иӈ са̄в­нув хо̄тпат пенсиян пат­хатэ̄гыт.
3716,Ос мо̄лты та̄л­ныл мощщанув яныгпа̄ла хо̄тпат тыт пенсия-олн виӈкве патсыт.
3717,Ань то̄ва хо̄тпат мо̄ртым ма̄н о̄луӈкве миныглэ̄гыт.
3718,Рӯпатта̄л о̄лнэ пенсия винэ хо̄тпат та̄л котиль э̄тпос о̄выл хо̄талныл са̄в­нув пенсия-олныл ойтуӈ­кве патве̄сыт.
3719,"Татьяна Зайцева ла̄выс, ань Югра ма̄т пуссын аквъёт 70 про­цент са̄вит рӯпатта̄л о̄лнэ яныгпа̄ла хо̄тпат пенсия-олн выгыт."
3720,Ань округувт 315 со̄­тыра тамле э̄лумхо̄лас о̄лы.
3721,"Ма̄н округувт яныг­па̄ла ма̄хманув 23,5 со̄тыра солко̄ви са̄виткем пенсия-олн выгыт."
3722,Россия ма̄в янытыл тыт щар са̄в пенсия-олн ойтаве.
3723,"Округувт нэ̄ хо̄тпат кит ня̄врам о̄ньще̄гыт ке, та̄н атпан та̄ланыл то̄влын порат пенсиян минуӈкве ве̄рме̄гыт."
3724,"Мо̄лты та̄л хащта̄л а̄гм е̄мтум ма̄гыс, ня̄врамыӈ ще̄мьят олныл ойтве̄сыт."
3725,Россияв янытыл аквторыг ня̄врамытн нё̄тмил ва̄рнэ тыса̄вит олн нэ̄мхуньт ат ойтыглавес.
3726,Ты ва̄рмаль щирыл мо̄лты та̄л 3 талныл ос 16 та̄л яныт ка̄сыӈ ня̄врамн лов со̄тыра солко̄ви ойт­вес.
3727,"То̄нт пуссын аквъёт 320 со̄тыра ня̄врам ма̄гыс 2,3 млрд."
3728,солко̄ви холтвес.
3729,"Яныгпо̄ль, я̄ӈк на̄тнэ ос лӯпта э̄тпосытыт хӯрум та̄ланыл иӈ ат то̄влум ня̄врамыт ма̄гыс о̄с олн ойтвес."
3730,"Округувт са̄тлов нупыл хо̄т со̄тыра ня̄вра­мыт ма̄гыс пуссын аквъёт 969,3 млн."
3731,солко̄ви холт­вес.
3732,Россия Президентув хансум указ щирыл хо̄т­хуйплов та̄ланыл иӈ ат то̄влум ня̄врамыт ма̄гыс о̄с нё̄тмил ва̄рвес.
3733,"Ты хосыт тыт о̄лнэ 380 ня̄врамытн 3,8 млрд."
3734,солко̄ви ойтвес.
3735,Ты олныт ювле хультум та̄лт ма̄нь таквс э̄тпос о̄выл хо̄талэ мус пуссын ойтве̄сыт.
3736,Мо̄лты та̄л ва̄т са̄грап­нал э̄тпост Россия Пре­зи­дентув о̄с акв нё̄тмил ва̄рнэ ма̄гыс хӯлтнэ нэ̄пак хансыс.
3737,Йильпи та̄л кас­тыл са̄т та̄л мус то̄влын ня̄в­ра­мыт пуссын ат со̄­тыра солко̄вил ойтуӈкве ла̄всанэ.
3738,Ты олныт ка̄сыӈ ще̄мьян акв хо̄тал сыс ёхтысыт.
3739,"То̄нт 189,3 со̄тыра тыт о̄лнэ ня̄врам ма̄гыс пус­сын аквъёт 946,5 млн."
3740,солко̄вил ойтвес.
3741,"Ювле хультум та̄лт ты нё̄тмил ма̄гыс 8,8 млрд."
3742,солко̄ви холтвес.
3743,"Татьяна Зайцева ла̄выс, ань ма̄н ма̄вт щар ма̄нь пенсия-олн хӯрумхуйплов со̄тыра солко̄ви са̄витыг о̄лы."
3744,"Ты олныт та хо̄тпа­тын ойтавет, хотьют о̄л­нэ̄тэ палытыл нэ̄мхо̄т ат рӯпитас."
3745,"Тувыл ос то̄ва яныг­па̄ла хо̄тпат яныг хо̄нт нак порат ос та юи-па̄лт рӯпитасыт, та̄н трудовой нэ̄пакыл ат ва̄рыглаве̄­сыт."
3746,Тыима̄гыс та̄н ань щар ма̄нь пенсиял ойта­вет.
3747,Ты яныгпа̄ла ма̄хум пенсияныл коныпал ка̄сыӈ э̄тпос округ губернатор олныл нё̄тавет.
3748,Николай МЕРОВ
3749,Ты э̄тпос 8 хо̄талэ̄т наука хо̄тал о̄лыс.
3750,2021 та̄л Россия янытыл «Наука ос технология» нампа та̄лыг намаявес.
3751,Ма̄н округувт Ханты-Мансийск ӯст 29 та̄л сыс А̄с-угорский институт рӯпиты.
3752,"Ма̄хум тот ма̄ньщи, ханты ос ё̄рн мирыт пе̄с йис ва̄рмаляныл, мо̄йтаныл, э̄рганыл, пе̄с потраныл ханищтыяныл ос ты урыл са̄всыр нэ̄пакыт та̄ратэ̄гыт,  конференцият ва̄рыглэ̄гыт ос са̄в мо̄т э̄рнэ рӯпата ва̄ре̄гыт."
3753,Ты колт 20 арыгкем та̄л хо̄нтаӈ ма̄ньщи нэ̄ Светлана Алексеевна Герасимова рӯпиты.
3754,Китыт та̄л тав Югорский университетыт аспи­ран­турат ханищтахты.
3755,Ам наука хо̄тал кастыл ма̄ньщи нэ̄ ёт хо̄нтхатыг­ла­сум ос рӯпататэ урыл китыгласлум.
3756,"Нэ̄ потре
– Ам ма̄ньта̄гыл ня̄в­ра­мыт ханищтан хо̄тпаг ханищтахтуӈкве тахсум."
3757,"Школа а̄стласум, Санкт-Петер­бург ӯсн А.И. Герцен нампа университетын учителиг ханищтахтаӈкве минасум."
3758,То̄нт Матрена Панк­рать­евна Вахрушева иӈ рӯпитас.
3759,Тав ма̄нав ма̄ньщи ла̄тӈыл ханищ­тасанэ.
3760,Ам тав лекциянэ̄н ялантаӈкве сака э̄руп­та­сум.
3761,"То̄ва порат яныгмам поратэ, война порат Ленинград ӯст о̄лме урыл ос са̄в мо̄т ва̄рмаль урыл потыртас."
3762,"Тав пенсиян хунь минас, ма̄нав Нина Алексеевна Лыскова ха­нищтас."
3763,То̄нт ам ма̄ньщи ла̄тӈыл пӯм­щалахтуӈ­кве патсум.
3764,"Та порат ханищтахтын колувт «Студенческое науч­ное общество» рӯ­пи­тас, ка̄сыӈ та̄л ма̄ньлат а̄гит ос пыгыт тув во̄выг­ла­ве̄сыт."
3765,Ам хансум док­ла­данум о̄с тот ловинь­та­санум.
3766,"Ханищтахтын ма̄ныл а̄стласум, Ханты-Манси­йск ӯсн ёхтысум."
3767,О̄влэ̄т школат рӯпата кинсым ё̄мыгтасум.
3768,Ня̄врам ха­нищтан хо̄тпаг рӯпитаӈ­кве аты вуйве̄сум.
3769,"Ка̄сыӈ ханищтан колт ла̄выгла­ве̄сум, ня̄врамыт ёт ат рӯпитасум."
3770,Ты юи-па̄лт Надежда Викторовна Савина палт минасум.
3771,То̄нт тав ханищтап Коми­те­тыт рӯпитас ос универ­ситет а̄стлан ма̄ньлат хо̄т­пат рӯпата кинсуӈкве нё̄тыс.
3772,"Надежда Вик­то­ровна ла̄выс: «Евдокия Ивано­вна Ромбан­деева палт тах ялыме̄н, э̄рыӈ рӯпи­таӈкв наныӈ выгтэ»."
3773,Во̄ртур э̄тпос оигпан э̄лы-па̄лт ня̄врамыт ха­нищ­тан хо̄тпат пуссын акв яныг сапра̄нин Ханты-Мансийск ӯст акван-ат­хатыг­ласыт.
3774,Ты сапра̄нит ме̄н Евдокия Ивановна Ромбан­деева ёт хо̄нт­ха­тыг­ласыме̄н.
3775,– То̄нт учёный нэ̄ Е.И. Ромбандеевна ёт наӈ ва̄йхатасын?
3776,"– Щар со̄ль, о̄выл щёс тав ётэ тот хо̄нтхатсум."
3777,"Надежда Савина таве̄н ла̄выс, ам рӯпата кин­сэ̄­гум, ма̄ньщи ла̄тыӈ ха­нищ­таӈ­кве ос наука щирыл рӯпитаӈкве сака ка̄са­ще̄гум."
3778,"Евдокия Ивановна ам нупылум а̄ӈкватас, тувыл ла̄выс, сӯкыр э̄тпос о̄выл хо̄талэ̄т А̄с-угорский ин­ститутыт вос ёхталэ̄­гум."
3779,Ам та хо̄талт тув ми­насум.
3780,"Тав а̄нум пасан ва̄тан ӯнттыстэ, «Ма̄ньщи мо̄йт» нэ̄пак мистэ, «Ма̄таприщ» мо̄йт ловиньтаӈкве ос ту­выл рущ ла̄тӈыл толмащ­лаӈ­кве ла̄выстэ."
3781,"Ам мо̄йт ловинь­таслум, маныр тор­гам­тасум, таи рущ ла̄тӈыл толмащласум."
3782,"То̄нт Евдокия Иванова ла̄выс: «Ма̄ньщи ла̄тыӈ ат ва̄гтэ, потыртаӈ­кве ат ха̄сы, хумус тыт рӯпи­таӈкве паты?»
Валентина Селивер­стовна Ивановна (Садо­мина) ты учёный нэ̄ ёт то̄нт рӯпитас."
3783,"Тав ла̄­выс: Тав ма̄ньлат а̄ги, таве ханищ­таӈкве э̄ри»."
3784,Учёный э̄ква мощ ном­сах­тас ос а̄нум А̄с-угор­ский институт кӯщай нэ̄ палт ва̄нттыстэ.
3785,То̄нт кӯ­щаиг Маина Афанасье­вна Лапина о̄лыс.
3786,"Тав ам ётум о̄с мощ потыртас, тувыл рӯпитаӈкве та вистэ."
3787,"– Наӈ са̄в та̄л Е.И. Ромбандеева ёт рӯпи­та­сын, манхурип тэ̄лан тав наӈын ханищтастэ?"
3788,"– Ам ма̄ньщи отделн рӯпитаӈкве хунь ёхтысум, тав а̄нумн училище ма̄г­сыл хансум ма̄ньщи ла̄тыӈ ханищтан нэ̄паке ловинь­таӈкве мистэ."
3789,Ты нэ̄пак ёмащакв вос ха­нищ­тылум.
3790,"То̄ва порат тав илто­рыг китыг­лах­тас: «Маныр урыл ловинь­тэ̄­гын, ман­хурип китыглах­тын ла̄тыӈ о̄ньще̄­гын?»
Китыглахтын ла̄тыӈ ат ке о̄щсум, тав ювле ла̄­выг­лас: «Нэ̄пак лю̄льсаӈ ловинь­таслын»."
3791,"Китыг­лах­тын ла̄тыӈ ке о̄щсум, тав ты ва̄рмаль урыл сака хоса потыртаӈкве ве̄р­мыс, тох а̄нум ханищтастэ."
3792,"То̄ва порат тав ётэ рӯ­питаӈкве та̄рвитыӈ о̄лыс, ос тувыл пӯмащ, тав са̄в э̄рнэ ва̄р­маль урыл ва̄с, таса̄вит та̄л наука щирыл рӯпитас, са̄в нэ̄пак та̄ратас."
3793,"То̄ва порат а̄нум китыг­ластэ, хумус предложение рущ ла̄тӈыл э̄рнэ щирыл хан­суӈкве э̄ри."
3794,Ам тав хансум потранэ компью­терн акваг хассанум.
3795,А̄нумн о̄выл научный потыр хансуӈкв нё̄тыс.
3796,Ты доклад ам 2001 та̄лт я̄ӈк на̄тнэ э̄т­пос Ижевск ӯст мирхал сим­по­зиумыт ловиньтаслум.
3797,"Ты юи-па̄лт Новоси­бирск ӯсн тав ётэ ялсу­ме̄н, то̄нт тав Евгения Николаевна Кузьмина, учёный нэ̄, ёт «фоль­клор­ный том» хосыт рӯпи­та­сы̄г."
3798,"Ам тот на­учный библио­текан ялантасум, нэ̄пакыт ло­виньтасум."
3799,"– Светлана Алексе­евна, манхурип наука тема щирыл рӯпитэ̄гыт?"
3800,– О̄влэ̄т ам ма̄ньщи ла̄тыӈ ханищтасум.
3801,Ты ла̄тыӈ урыл са̄всыр докла­дыт хассум.
