|target|source
183|Ань Ӣсус ты нэ̄ ёт потыртамēт синагога пуӈкхум колэ̄ныл ля̄ххал тотнэ хумыт ёхтысыт ос лāвсыт:— Наӈ āгин āтимыг ēмтыс. Ханисьтан хумн наӈ торас манрыг иӈ вāрēгын?|Когда Он еще говорил сие, приходят от начальника синагоги и говорят: дочь твоя умерла; что еще утруждаешь Учителя?
184|Ань Ӣсус ты лāтӈыт хӯлманэ порат синагога пуӈкхум нупыл тох ты лāвыс:— Ул пилэн! Тōрумын тӯп агтэн!|Но Иисус, услышав сии слова, тотчас говорит начальнику синагоги: не бойся, только веруй.
185|Тав юи-пāлэ̄т нэ̄мхотъютын йиӈкве ат тāртахтас. Тав туп Пēтр ос каӈкы̄г-апсиы̄г Яков ос Иоан ёт вōвсанэ.|И не позволил никому следовать за Собою, кроме Петра, Иакова и Иоанна, брата Иакова.
186|Тāн синагога пуӈкхум колэ̄н ёхтысыт. Тот мāхум накын патмыт. Тāн сака лю̄сьсыт.|Приходит в дом начальника синагоги и видит смятение и плачущих и вопиющих громко.
187|Ӣсус кол кӣвырн сялтыс ос тāнанылн лāвыс:	 — Нāн манры̄г лю̄ньсегы̄н. Ня̄врам āтимыг ат ēмтыс. Тав нас ёл-ойилматвес.|И, войдя, говорит им: что смущаетесь и плачете? девица не умерла, но спит.
188|Мāхум Тавēтыл мувиньтасыт. Ӣсус мāхум пуссын кон-кēтсанэ, туп āгирись ся̄няге-āсяге ос Тав ётэ ōлум хумиянэ юн-хультуптасанэ. Тувыл Тав āгирись ōлнэ колнакын сялтыс.|И смеялись над Ним. Но Он, выслав всех, берет с Собою отца и мать девицы и бывших с Ним и входит туда, где девица лежала.
189|Āгирись кāт вистэ, лāвыс: “Талифа куми!” Ты тох толмасьлаве:“Āгирись, Ам наӈын лāвēгум, нōх-лю̄лен!”|И, взяв девицу за руку, говорит ей: `талифа куми', что значит: девица, тебе говорю, встань.
190|Āгирись тāра-та нōх-лю̄лис ос ё̄мыгтаӈкве патыс; тав китхуйплувкем тāлэ ōлыс. Сунсум мир пуссын сака осятахтыгласыт.|И девица тотчас встала и начала ходить, ибо была лет двенадцати. [Видевшие] пришли в великое изумление.
191|Ӣсус тāнанылн ты урыл нэ̄мхотъютын потыртаӈкве ат тāртахтас. Тувыл Тав āгирись тэ̄нутыл миӈкве лāвыстэ.|И Он строго приказал им, чтобы никто об этом не знал, и сказал, чтобы дали ей есть.
192|Ӣсус тувыл такви самын патум ӯсэ̄н минас. Тав ётэ ханисьтахтын хумиянэ тув минасыт.|Оттуда вышел Он и пришел в Свое отечество; за Ним следовали ученики Его.
193|Сабат-хōтал ēмтыс. Тав синагогат ханисьтаӈкве патыс. Таве хӯнтлан сāв хōтпат осятахтыгласыт:— Ань Тав манры̄г тамле мутраӈ? Тамле ōлыглаттāл нак Тав кāтагэ хумус вāрēг?|Когда наступила суббота, Он начал учить в синагоге; и многие слышавшие с изумлением говорили: откуда у Него это? что за премудрость дана Ему, и как такие чудеса совершаются руками Его?
194|Тав йӣвныл матырāти вāрнэ хумы̄г туп кос ōлы? Мария пыге, Яков, Ӯщуп, Иуда ос Симон нампа хумыт — тав ягпыганэ? Эрыӈ Тав э̄сянэ ос мāн халувт ат ōлэ̄гыт?Таимāгыс мāхум Тавēныл пōхан-ёӈхысыт|Не плотник ли Он, сын Марии, брат Иакова, Иосии, Иуды и Симона? Не здесь ли, между нами, Его сестры? И соблазнялись о Нем.
195|Ӣсус тāнанылн лāвыс:— Тōрум лтыӈ тотнэ хум хōт-āти āкваг янытлаве. Туп такви самын патум ӯсэ̄т, такви колэ̄т ос такви рӯтанэ халт тав ат янытлаве.|Иисус же сказал им: не бывает пророк без чести, разве только в отечестве своем и у сродников и в доме своем.
196|Тот Тав нэ̄матыр ōлыглаттāл нак вāруӈкве ат вēрмыс. Тав тӯп матахкем āгмыӈ хōтпа кāтаге пиным пусмалтас.|И не мог совершить там никакого чуда, только на немногих больных возложив руки, исцелил [их].
197|Ӣсус тāн Тōрумн ат āгтнэ вāрмаляныл осятахтыглас. Ӣсус ань ляпат ōлнэ пāвлытт яласаӈкве ос мир ханисьтаӈкве патыс.|И дивился неверию их; потом ходил по окрестным селениям и учил.
198|Тав такви палтэ китхуйплув ханистахтын юртанэ акван-атсанэ. Тувыл кит-кит хōтпал тāнаныл кēтуӈкве ōвылтасанэ, кулит кон-ня̄влын ё̄р тāнанылн мис.|И, призвав двенадцать, начал посылать их по два, и дал им власть над нечистыми духами.
199|Ӣсус тāнанылн тамле лāтӈыт лāвыс:— ё̄амнэ сув коны-пāл лё̄ӈхын воссыг нэ̄матыр ул вуēн: хōлы-хӯрыг, ня̄нь, олн ул вуēн.|И заповедал им ничего не брать в дорогу, кроме одного посоха: ни сумы, ни хлеба, ни меди в поясе,
200|Лāгыл маснут ос суп коны-пāл воссыг нэ̄матыр ул вуēн.|но обуваться в простую обувь и не носить двух одежд.
201|Хотъют колн ке сялтэгы̄н, та колт э̄лаль миннэ̄н мус ōлэ̄н.|И сказал им: если где войдете в дом, оставайтесь в нем, доколе не выйдете из того места.
202|Хоты колыт ляпан ат ке вивēн, ман ат ке хӯнтлавēн, миннэ̄н э̄лы-пāлт тот нāн сэ̄иӈ лāгланы̄н хот-паргалтэ̄н. Тох тāнанылн пōри вāрēн, тāн тах вос торгамтыяныл.|И если кто не примет вас и не будет слушать вас, то, выходя оттуда, отрясите прах от ног ваших, во свидетельство на них. Истинно говорю вам: отраднее будет Содому и Гоморре в день суда, нежели тому городу.
203|Ханисьтахтын хумиянэ та минасыт ос Тōрум ля̄льт суснэ вāрмаль мирн потыртасыт.|Они пошли и проповедывали покаяние;
204|Тāн сāв кулит кон-ня̄влысыт, сāв āгмыӈ ос вāгтал хōтпа вōйл сартым пусмалтасаныл.|изгоняли многих бесов и многих больных мазали маслом и исцеляли.
205|Ӣсус урыл лāтыӈ мā янытыл тāрамлас. Ты лāтыӈ Ирод-хōн хӯлыстэ. Тōва мāхум потыртасыт:	 — Ты витыл пēрнал пиннэ хум Иоан! Тав нōх-ялтыс, таимāгыс тамле ōлыглаттāл вāрмаль вāри.|Царь Ирод, услышав [об Иисусе], --ибо имя Его стало гласно, --говорил: это Иоанн Креститель воскрес из мертвых, и потому чудеса делаются им.
206|Тōва хōтпат ос лāвыглāлсыт:— Тав Илия нампа хум.Мōт мāхум лāвыглāлсыт:— Тав эрттам Тōрум лāтыӈ тотнэ хумытныл акв хум.|Другие говорили: это Илия, а иные говорили: это пророк, или как один из пророков.
207|Ирод-хōн та потрыт хӯнтамламēт лāвыс:— Ты Иоан. Ам тав пуӈке хот-сагрыслум. Тав ань нōх-ялтыс.|Ирод же, услышав, сказал: это Иоанн, которого я обезглавил; он воскрес из мертвых.
208|Ирод э̄кватэ намэ Иродида ōлыс. Ōвлэ̄т ты нэ̄Ирод каӈке нэ̄г ōлыс. Каӈке наме филипп ōлыс.|Ибо сей Ирод, послав, взял Иоанна и заключил его в темницу за Иродиаду, жену Филиппа, брата своего, потому что женился на ней.
209|Иоан Иродын лāвыглāлыс: “Каӈкын нэ̄ наӈын тотуӈкве ат рōви”.|Ибо Иоанн говорил Ироду: не должно тебе иметь жену брата твоего.
210|Таимāгыс Иоан Иродын кāснаколн ӯнттувес. Ань Иродида Иоан нупыл лаве нэ̄глыс, таве порслаӈкве таӈхыстэ, нэ̄матыр вāруӈкве ат вēрмыс.|Иродиада же, злобясь на него, желала убить его; но не могла.
211|Ирод Иоанныл пилыс ос таве э̄руптастэ, таимāгыс тав Иоан ӯргаластэ. Ирод-хōн вāстэ, Иоан ялпыӈ ос вēськат хумы̄г ōлыс. Иоан потрыт Ирод-хōнын сака мӯстысыт, пуссын сымн ат вуйсанэ.|Ибо Ирод боялся Иоанна, зная, что он муж праведный и святой, и берёг его; многое делал, слушаясь его, и с удовольствием слушал его.
212|Аквматнакт Иродидан э̄рнэ пора ēмтыс. Ирод-хōн самын патум хōталэ ōлыс. Тав яныг пасан вāрыс. Та пӯрин сāв мāхум вōвыс: сёлыӈ мāхум, хōнт кӯсяйт ос Галилея мā янытыл мирн э̄руптанэ мāхум.|Настал удобный день, когда Ирод, по случаю [дня] рождения своего, делал пир вельможам своим, тысяченачальникам и старейшинам Галилейским, --
213|Та пӯрит Иродида āгитэ нё̄тнэ̄г йӣквыс. Мӯй мāхум сака пумсы̄г āги нупыл суссыт.|дочь Иродиады вошла, плясала и угодила Ироду и возлежавшим с ним; царь сказал девице: проси у меня, чего хочешь, и дам тебе;
214|Хōн āги нупыл лāвыс:— Наӈын мāныр э̄ри, вōвен! Манырпыл ōньсēгум, кос хōн-мā акв-пāлэ — пуссын наӈын мигум!|и клялся ей: чего ни попросишь у меня, дам тебе, даже до половины моего царства.
215|Āги ся̄нэ пāлт китыглахтуӈкве минас.— Витыл пēрнал пиннэ Иоан хум пуӈке вōвен, — ся̄нэ ля̄галас.|Она вышла и спросила у матери своей: чего просить? Та отвечала: головы Иоанна Крестителя.
216|Āги хōн пāлт хāйтыс ос лāвыс:— Āнумн витыл пēрнал пиннэ хум Иоан пуӈке āны пис кӣвырн пиным э̄ри.|И она тотчас пошла с поспешностью к царю и просила, говоря: хочу, чтобы ты дал мне теперь же на блюде голову Иоанна Крестителя.
217|Ирод сака кāсталы̄г ēмтыс, мир э̄лы-пāлт лāвум лāтӈе ювле ат выгтэ.|Царь опечалился, но ради клятвы и возлежавших с ним не захотел отказать ей.
218|Хōн сираиӈ хумитэ Иоан пуӈке сāгруӈкве тара-та кēтыстэ.|И тотчас, послав оруженосца, царь повелел принести голову его.
219|Сираиӈ хум кāснаколн та минас. Тот ань Иоан пуӈке хот-сāграпастэ. Тувыл āны пис кӣвырн пиныстэ, āгин та мистэ. Āги ос ся̄нēн та мистэ.|Он пошел, отсек ему голову в темнице, и принес голову его на блюде, и отдал ее девице, а девица отдала ее матери своей.
220|Иоан ханисьтахтын хумиянэ ты хӯлманылт, ёхтысыт. Иоан висаныл ос ёл-сё̄питасаныл.|Ученики его, услышав, пришли и взяли тело его, и положили его во гробе.
221|Апостолыт Ӣсус пāлт атхатасыт. Тавēн потыртасыт, тāн ань э̄лы-мāт мāныр вāрсыт ос мир хумус ханисьтасаныл.|И собрались Апостолы к Иисусу и рассказали Ему все, и что сделали, и чему научили.
222|Ӣсус тāнанылн лāвыс:— Мир ōлтāл мāн минэ̄н. Нāнан мось ӯсьлахтуӈкве э̄ри.Сāв мир āкваг ёхталас, таимāгыс ханисьтахтынхумиянэ тэ̄ӈкве ат āлымāлсыт.|Он сказал им: пойдите вы одни в пустынное место и отдохните немного, --ибо много было приходящих и отходящих, так что и есть им было некогда.
223|Тāн хāпн тāлсыт, мир ōлтāл мāн та минасыт.|И отправились в пустынное место в лодке одни.
224|Мирн кāсалавēсыт, хумус тāн товумтасыт. Мāхум ся̄рысь вāта хосыт тāн юи-пāланылт хāйталтасыт, хāп э̄лы-пāлт мир ōлтāл мāн ёхтынэ̄ныл мāгыс.|Народ увидел, [как] они отправлялись, и многие узнали их; и бежали туда пешие из всех городов, и предупредили их, и собрались к Нему.
225|Хунь Ӣсус пāг-квāлыс, сāв мāхум кāсалас. Тавēн тāн сāлӣг ēмтсыт. Тāн аквтуп паля аняг ōлсыт; паля ӯрнэ хум ат ōнсьсыт. Ӣсусн тāн ань ханисьтаӈкве та патвēсыт.|Иисус, выйдя, увидел множество народа и сжалился над ними, потому что они были, как овцы, не имеющие пастыря; и начал учить их много.
226|Э̄типāлаг ēмтум порат ханисьтахтын хумиянэ Тав пāлтэ ёхтысыт ос лāвсыт:— Э̄тиӣг та ēмты.|И как времени прошло много, ученики Его, приступив к Нему, говорят: место [здесь] пустынное, а времени уже много, --
227|Мāхум юв-тāртэ̄н, ляпа пāвлытн вос ялэ̄гыт, тāнкинāнанылн тэ̄нут вос ёвтэ̄гыт.|отпусти их, чтобы они пошли в окрестные деревни и селения и купили себе хлеба, ибо им нечего есть.
228|Ӣсус ювле-лāвыс:— Нāн нāнки тāнаныл тыттэ̄н.Ханисьтахтын хумиянэ осятахтыглāлсыт:— Наӈ ман сōль номсэ̄гын, ты китсат динарий сāвит олныл тāнанылн тэ̄нут ёвтуӈкве вēрмēв?|Он сказал им в ответ: вы дайте им есть. И сказали Ему: разве нам пойти купить хлеба динариев на двести и дать им есть?
229|Ӣсус китыглахтас:— Нāн манах ня̄нь ōньсегы̄н? Ялэ̄н, тара-паттэлы̄н!Тāн ялсыт, тāра-паттысаныл, манах ня̄нь тот ōсьсыт. Тувыл лāвēгыт:— Ат ня̄нь ос кит хӯл ōньсēв.|Но Он спросил их: сколько у вас хлебов? пойдите, посмотрите. Они, узнав, сказали: пять хлебов и две рыбы.
230|Ӣсус мāхум ня̄рпумыӈ мāн ёл-ӯнттункве лāвсанэ.|Тогда повелел им рассадить всех отделениями на зеленой траве.
231|Атпанахкēмыл, яныгсаткēмыл мир ёл-ӯнтсыт.|И сели рядами, по сто и по пятидесяти.
232|Тувыл Ӣсус та ат ня̄нь ос та кит хӯлы̄г кāтэ̄н висанэ. Тав тōрум нупыл нōӈхал āӈкватас ос ня̄нь мāгыс Тōрумн пӯмасипа лāвыс. Тувыл Ӣсус ня̄нь ломты̄г-ломты̄г сакватасанэ ос ханисьтахтын хумиянэ̄н уртуӈкве патвēсыт. Ӣсус ань та кит хӯлыгныл кāсыӈ хōтпан ōс мāнь лōмт мис.|Он взял пять хлебов и две рыбы, воззрев на небо, благословил и преломил хлебы и дал ученикам Своим, чтобы они раздали им; и две рыбы разделил на всех.
233|Мир пуссын пōйтнэ̄г тэс.|И ели все, и насытились.
234|Та коны-пāл аквхуйплув корсинкат арыгтам тэ̄нут иӈ хультыс.|И набрали кусков хлеба и [остатков] от рыб двенадцать полных коробов.
235|Тысыр атахкем сōтыра э̄лумхōлас тэ̄сыт.|Было же евших хлебы около пяти тысяч мужей.
236|Тāра-та ты вāрмаль юи-пāлт Ӣсус ханисьтахтын хумиянэ хāпын тāлуӈкве ос ся̄рысь та-пāлн Вифсаида ӯсн товуӈкве лāвсанэ. Ӣсус такви ся̄рысь ты-пāлт мир юв-тāртнэ мāгыс хультыс.|И тотчас понудил учеников Своих войти в лодку и отправиться вперед на другую сторону к Вифсаиде, пока Он отпустит народ.
237|Мир лāкква-миныглам юи-пāлт, Ӣсус ӯр алан пōйксяӈкве минас.|И, отпустив их, пошел на гору помолиться.
238|Э̄тиӣг ēмтыс. Ханисьтахтын хумиянэ ся̄рысь котильт ōлсыт. Ӣсус тактēтэ ся̄рысь вāтат ōлыс.|Вечером лодка была посреди моря, а Он один на земле.
239|Тав сунсыс, тāнанылн вōт пōри товуӈкве хумус тāрвит. Э̄ти, нилахкем сё̄с порат тāн палтанылн вит хосыт лāглыл та минмыгтас.|И увидел их бедствующих в плавании, потому что ветер им был противный; около же четвертой стражи ночи подошел к ним, идя по морю, и хотел миновать их.
240|Тав хāп тāра ё̄мыс. Ханисьтахтын хумиянэ̄н Тав кāсалавес. Тāн хот-рохтысыт, номсэ̄гыт, ты ул исхор, рōӈхалтахтасыт.|Они, увидев Его идущего по морю, подумали, что это призрак, и вскричали.
241|Ӣсус тāнанылн аквтаторыг лāвыс:—Торамлэ̄н! Ты Ам. Ул пилэ̄н.|Ибо все видели Его и испугались. И тотчас заговорил с ними и сказал им: ободритесь; это Я, не бойтесь.
242|Тав хāп кӣвырн тāлыс. Вōт ёл та пōйтыс. Ханисьтахтин хумиянэ сака осятахтыгласыт.|И вошел к ним в лодку, и ветер утих. И они чрезвычайно изумлялись в себе и дивились,
243|Тāн ня̄няныл ёт ōлум ōлыглаттāл нак иӈ ат торгамтасаныл, сыманыл лап ōлсыт.|ибо не вразумились [чудом] над хлебами, потому что сердце их было окаменено.
244|Ся̄рысь та-пāлт тāн Геннисарет ӯс вāтан пāг-пӯхтысыт.|И, переправившись, прибыли в землю Геннисаретскую и пристали [к] [берегу].
245|Хунь тāн пāг-квāлсыт, соссаӈ мирн Ӣсус тāра-та хасьвес.|Когда вышли они из лодки, тотчас [жители], узнав Его,
246|Тāн Ӣсус пāлт хāйтсыт. Ӣсус урыл пāвлыӈ мир халт потыр минас. Тав пāлтэ āгмыӈ мāхум хуйнэ мананыл тотуӈкве патвēсыт.|обежали всю окрестность ту и начали на постелях приносить больных туда, где Он, как слышно было, находился.
247|Хōты мāт Тав ат ōлыс, ӯст манос пāвылт, мир āгмыӈ мāхманыл Тав пāлтэ тотыглалсаныл. Тāн Ӣсус пōйкыглāлсаныл: Тав такви маснутанэ̄н āгмыӈ мāхум карссатаптыглахтуӈкве вос тāртыянэ, хоты хōтпа карссатаптыглахтыглас — та пусмыглас.|И куда ни приходил Он, в селения ли, в города ли, в деревни ли, клали больных на открытых местах и просили Его, чтобы им прикоснуться хотя к краю одежды Его; и которые прикасались к Нему, исцелялись.
248|Иерусалим ӯсныл фарисейт ос матахкем сāккон тотнэ хумыт Ӣсус пāлт ёхтысыт.|Собрались к Нему фарисеи и некоторые из книжников, пришедшие из Иерусалима,
249|Тāн кāсаласаныл: Ӣсус ханисьтахтын хумиянэ тōват кāтаныл ловттāл тэ̄сыт.|и, увидев некоторых из учеников Его, евших хлеб нечистыми, то есть неумытыми, руками, укоряли.
250|Юдея мāт тамле пēс-йӣс сāккон ōлыс: кāт ловттāл тэ̄ӈкве ӯнтуӈкве ат рōвыс. Ты нак фарисей ос еврей мāхумын вāйвес.|Ибо фарисеи и все Иудеи, держась предания старцев, не едят, не умыв тщательно рук;
251|Ёвтхатнэ мāныл ёхтынэ̄ныл юи-пāлт кāтаныл ловтуӈкве э̄рыс. Та коны-пāл ōс сāвсыр пēс-йӣс вāрмалит ōлсыт. Аргин пӯтыт ос мōт āны-сāныт хумус ловтуӈкве э̄ри.|и, [придя] с торга, не едят не омывшись. Есть и многое другое, чего они приняли держаться: наблюдать омовение чаш, кружек, котлов и скамей.
252|Ань фарисейт ос сāккон тотнэ хумыт Ӣсус китыгласаныл:— Наӈ ханисьтахтын хумиянын пēс-йӣс сирыл ōлуӈкве манрыг ат таӈхēгыт? Тэ̄нэ э̄лы-пāлт тāн кāтаныл манрыг ат ловтыяныл?|Потом спрашивают Его фарисеи и книжники: зачем ученики Твои не поступают по преданию старцев, но неумытыми руками едят хлеб?
253|6Ӣсус тāнанылн лāвыс:— Соль та Исаян, Тōрум лāтыӈ тотнэ хумн, нāн кит-вильтупы̄г намтвесын:“Ты мир Āнум сӯпаныл-нēлманылянытлыяныл.Тāн сыманыл Āнумныл сака э̄лын ōлэ̄гыт.|Он сказал им в ответ: хорошо пророчествовал о вас, лицемерах, Исаия, как написано: люди сии чтут Меня устами, сердце же их далеко отстоит от Меня,
254|Āнум янытлан вāрмаляныл номт ат оньси.Тāн ханисьтан вāрмаляныл э̄лумхōласōлнэ писит”.|но тщетно чтут Меня, уча учениям, заповедям человеческим.
255|— Нāн Тōрум сāккон хултуптаслы̄н. Нāн э̄лумхōлас пēс-йӣс ōлнэ хурин вуйхатэ̄гы̄н. Нāн āны-сāныт ловтнэ вāрмаль ос мōт пēс-йис вāрмалит вāрегы̄н.|Ибо вы, оставив заповедь Божию, держитесь предания человеческого, омовения кружек и чаш, и делаете многое другое, сему подобное.
256|Пēс-йӣс вāрмаль мāгыс нāн Тōрум сāккон осьмарыӈы̄г пēнтыслын.|И сказал им: хорошо ли, [что] вы отменяете заповедь Божию, чтобы соблюсти свое предание?
257|Моисей лāвыс: “Нāнки ся̄нягы̄н-āсягы̄н янытлэ̄лы̄н” ос “Ся̄няге-āсяге люкамтан хōтпа сорумн вос паты”.|Ибо Моисей сказал: почитай отца своего и мать свою; и: злословящий отца или мать смертью да умрет.
258|Нāн ос э̄лумхōлас ся̄няге-āсяге нупыл тох лāвуӈкве ханисьтылы̄н: “Нэ̄н мāгсылын вāрнэ вāрмалянум ам Тōрумн мӯйлуптасанум”.|А вы говорите: кто скажет отцу или матери: корван, то есть дар [Богу] то, чем бы ты от меня пользовался,
259|Нāн ханисьтанēн сирыл э̄лумхōлас ся̄няге-āсяге мāгыс воссыг нэ̄матыр ул вос вāри.|тому вы уже попускаете ничего не делать для отца своего или матери своей,
260|Нāн Тōрум лāтыӈ нāнки пēс-йӣс ханисьтан накын мāгыс пēнтыслын.|устраняя слово Божие преданием вашим, которое вы установили; и делаете многое сему подобное.
261|Ӣсус мир ляпан вōвсанэ, тāнанылн лāвыс:— Āнум хӯнтлэлы̄н, торгамтэлы̄н!|И, призвав весь народ, говорил им: слушайте Меня все и разумейте:
262|Э̄лумхōлас юв-тэ̄нэ тэ̄нутыл “пāӈкыӈы̄г” ат ēмты. Э̄лумхōлас такви кӣврēныл квāлнэ вāрмалитныл “пāӈкыӈы̄г” ēмты.|ничто, входящее в человека извне, не может осквернить его; но что исходит из него, то оскверняет человека.
263|Хотъют пāль ōньси, Āнум хӯлытэ!|Если кто имеет уши слышать, да слышит!
264|Ётылнув ханисьтахтын хумиянэ̄н Ӣсус ты ханисьтан потре урыл китыглавес.|И когда Он от народа вошел в дом, ученики Его спросили Его о притче.
265|Тав тāнанылн лāвыс:— Нāн сōль ат та торгамтылын-а? Э̄лумхōлас кӣврēн коныл ся̄лтнэ матыр-āтин “пāӈкыӈы̄г” ат вāраве.|Он сказал им: неужели и вы так непонятливы? Неужели не разумеете, что ничто, извне входящее в человека, не может осквернить его?
266|Тэ̄нэ утанэ тэ̄п хӯргēн ся̄лтэ̄гыт. Тувыл кон-минэ̄гыт. Тāн сымн хунь ся̄лтэ̄гыт.Ӣсус тох лāвыс:— Кāсыӈ тэ̄нут сыстамы̄г ōлы.|Потому что не в сердце его входит, а в чрево, и выходит вон, [чем] очищается всякая пища.
267|Ань э̄лумхōлас кӣврēныл квāлнэ номтанэ̄н “пāӈкыӈы̄г” вāраве.|Далее сказал: исходящее из человека оскверняет человека.
268|Э̄лумхōлас сымныл лю̄ль номтыт кон-квāлэ̄гыт: мōт хум нэ̄ ёт ōлнэ вāрмаль, алысьлахтын вāрмаль, тӯлмантан вāрмаль.|Ибо извнутрь, из сердца человеческого, исходят злые помыслы, прелюбодеяния, любодеяния, убийства,
269|Нялыӈы̄г, кантыӈы̄г, лаплахты̄гланэ̄г ōлнэ вāрмаль, Тōрум лю̄камтан вāрмаль.|кражи, лихоимство, злоба, коварство, непотребство, завистливое око, богохульство, гордость, безумство, --
270|Пуссын э̄лумхōлас кӣврēныл квāлнэ кантэ̄н “пāӈкыӈы̄г” вāраве.|всё это зло извнутрь исходит и оскверняет человека.
271|Галилея мāныл Ӣсус Тир ос Сидон мāн минас. Тав сытамыл ёхтыс, ёхтуме урыл мāхумын ул вос вāве. Тав ёхтуме урыл мāхум ань хӯлсаныл.|И, отправившись оттуда, пришел в пределы Тирские и Сидонские; и, войдя в дом, не хотел, чтобы кто узнал; но не мог утаиться.
272|Ӣсус ёхтуме урыл акв нэ̄ хунь хӯлыстэ, тав аквтаторыг Ӣсус пāлт ёхтыс. Ӣсус э̄лы-пāлн сāнсагēн ёл-патыс. Та нэ̄ āгирысе кулил вуим ōлыс.|Ибо услышала о Нем женщина, у которой дочь одержима была нечистым духом, и, придя, припала к ногам Его;
273|Ты грек нэ̄, Сирийский Финикия мāныл, ōлыс. Нэ̄ Ӣсус пōйкуӈкве патыстэ, āгитэ̄ныл куль кон вос ня̄влыянэ.|а женщина та была язычница, родом сирофиникиянка; и просила Его, чтобы изгнал беса из ее дочери.
274|Ӣсус та нэ̄ нупыл лāвыс:— Ōвлэ̄т, ня̄врамыт пōйтнэ̄г тыттуӈкве э̄рēгыт. Ня̄врамытныл ня̄нь виӈкве ос кӯтювытын лиӈкве ат рōви|Но Иисус сказал ей: дай прежде насытиться детям, ибо нехорошо взять хлеб у детей и бросить псам.
275|Нэ̄ ювле-лāвыс:— Сōль лāвēгын, Кӯсяй. Ня̄врам пасанныл ёл-рагатам ня̄нь саквыт кӯтювытын тэ̄вет.|Она же сказала Ему в ответ: так, Господи; но и псы под столом едят крохи у детей.
276|Ӣсус ань нэ̄н лāвыс:— Тамле лāтӈанын мāгыс пускāтыл-пуслāглыл юв-минэн! Куль наӈ āгиныл кон-минас.|И сказал ей: за это слово, пойди; бес вышел из твоей дочери.
277|Нэ̄ юв-ёхтуме порат āгитэ пусмум, хуйнэмāт поварāлы. Куль тавēныл кон-минам.|И, придя в свой дом, она нашла, что бес вышел и дочь лежит на постели.
278|Ӣсус Тир мāныл Сидон ос Декаполис мāт тāра минас. Тувыл Галилея ся̄рысь вāтан ёхтыс.|Выйдя из пределов Тирских и Сидонских, [Иисус] опять пошел к морю Галилейскому через пределы Десятиградия.
279|Тыт Ӣсус пāлт пāльтал хōтпа тотвес. Мāхум Ӣсус таве кāтэ пиным пусмалтаӈкве пōйкысаныл.|Привели к Нему глухого косноязычного и просили Его возложить на него руку.
280|Ӣсус та хум пōхан вāнттыстэ. Ань тӯлёвланэ та хум палясагēн пинсанэ, салямас ос хум нēлмēн карссатаптыглахтас.|[Иисус], отведя его в сторону от народа, вложил персты Свои в уши ему и, плюнув, коснулся языка его;
281|Тувыл Ӣсус  нōӈхаль аӈкватас, тыстувъим тавēн лāвыс: “Еффата!” Ты тох толмасьлаве: “Пāлыг-пӯсхатэн!”|и, воззрев на небо, вздохнул и сказал ему: `еффафа', то есть: отверзись.
282|Хум палягэ тāра-та пӯсхатасыг. Тав сӯп-нēлумн ёхтувес. Тав сыстамы̄г потыртаӈкве патыс.|И тотчас отверзся у него слух и разрешились узы его языка, и стал говорить чисто.
283|Ӣсус ты урыл мирн потыртаӈкве ат тартахтас. Такем-та мāхум ӯсьпылнэ̄г сāвнув потыртасыт.|И повелел им не сказывать никому. Но сколько Он ни запрещал им, они еще более разглашали.
284|Мāхум сака осятахтыгласыт, лāвсыт:— Тав пуссын ёмас вāри. Насати Тав пальтāл хōтпанэ хӯлэ̄гыт, сӯп-нēлмтал хōтпанэ потыртэ̄гыт!|И чрезвычайно дивились, и говорили: всё хорошо делает, --и глухих делает слышащими, и немых--говорящими.
285|Ӣсус пāлт ос сāв мир атхатас. Тāн тэ̄нут ат ōньсыт. Ӣсус ханисьтахтын хумиянэ ляпан вōвсанэ ос лāвыс:|В те дни, когда собралось весьма много народа и нечего было им есть, Иисус, призвав учеников Своих, сказал им:
286|— Āнумн ты мāхум сāлӣг ōлэ̄гыт. Ам ётум тāн хӯрум хōтал ōлсыт. Тāн тэ̄нут ат ōньсēгыт.|жаль Мне народа, что уже три дня находятся при Мне, и нечего им есть.
287|Ам тāнаныл тэ̄тал ке юв-тāртыянум, тāн ювле-миннэ̄ныл сыс сяр вāгтал патэ̄гыт. Тōваныл э̄лы мāныл ōлэ̄гыт.|Если неевшими отпущу их в домы их, ослабеют в дороге, ибо некоторые из них пришли издалека.
288|Ханисьтахтын хумиянэ Ӣсус китыгласаныл:— Тамле мāт тāнанылн тыттын ня̄нь мāн хотыл выгув?|Ученики Его отвечали Ему: откуда мог бы кто [взять] здесь в пустыне хлебов, чтобы накормить их?
289|— Манах ня̄нь нāн ōньсегы̄н? — Ӣсус китыглахтас.— Сāт ня̄нь, — ханисьтахтын хумиянэ лāвсыт.|И спросил их: сколько у вас хлебов? Они сказали: семь.
290|Ӣсус мāхум мā тармыл ӯнтуӈкве лāвсанэ. Тав ань сāт ня̄нь висанэ, Тōрумн пӯмасипа лāвыс. Ня̄нит лōмты̄г-лōмты̄г сакватасанэ ос ханисьтахтын юртанэ̄н мисанэ. Тāн ня̄нит мāхумын вос уртияныл.|Тогда велел народу возлечь на землю; и, взяв семь хлебов и воздав благодарение, преломил и дал ученикам Своим, чтобы они раздали; и они раздали народу.
